cbp_id,cbp_provider_id,cbp_provider_name,cbp_name,cbp_type,batch_id,batch_name,batch_start_date,batch_end_date,cbp_duration,cbp_rating,last_published_on,cbp_retired_on,cbp_status,resource_count,total_certificates_issued,cbp_substatus,data_last_generated_on
do_1133965033930096641103,0133809553768366080,CBP Karmayogi,Management Course,Course,"","","","",00:00:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_1134517963349278721259,013415728943611904114,Steel Ministry of Steel,Preventive Vigilance,Course,"","","","",01:33:26,4.506550218340611,2022-02-02,"",Live,12,3053,Reviewed,2024-02-28 02:03:31 AM
do_1136109428558725121364,0134913087249776646170,Ministry of Mines,Basics of Paleontology,Course,"","","","",02:27:59,4.363636363636363,2023-03-20,"",Live,28,59,SentToPublish,2024-02-28 02:03:31 AM
do_113622284696616960198,0134913087249776646170,Ministry of Mines,STATUTORY PROVISIONS FOR ONLINE SUBMISSION OF MONTHLY AND ANNUAL,Course,"","","","",00:21:55,4.5625,2023-08-17,"",Live,2,3094,Reviewed,2024-02-28 02:03:31 AM
do_113813370231152640135,013594775897538560248,Department of Posts,UNIFIED DARPAN ANDROID APPLICATION - PRARAMBH,Course,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_11383262252331827216,0137924892561899523,Morarji Desai National Institute of Yoga (MDNIY),Common Yoga Protocol- Assamese,Course,"","","","",00:51:53,4.644444444444445,2023-07-05,"",Live,2,340,SentToPublish,2024-02-28 02:03:31 AM
do_113836855897178112166,0134913087249776646170,Ministry of Mines,Engineering Properties of Rocks and Soil,Course,"","","","",01:37:51,4.365384615384615,2023-08-03,"",Live,13,211,SentToPublish,2024-02-28 02:03:31 AM
do_11384816319916441611,013594775897538560248,Department of Posts,India Post Website,Course,"","","","",00:59:51,4.443983402489627,2023-07-27,"",Live,7,1276,SentToPublish,2024-02-28 02:03:31 AM
do_113854586868219904173,0133782666818437120,iGoT,Registration under GST Law,Course,"","","","",00:00:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_113855798330294272152,0133872821604761600,Institute of Secretariat Training and Management,Gender Sensitization -2,Course,"","","","",00:50:00,4.5027932960893855,2023-08-09,"",Live,2,1262,SentToPublish,2024-02-28 02:03:31 AM
do_113871571383803904113,01385167365084774413059,Oracle,Primavera Cloud Schedule Management,Course,"","","","",03:40:54,4.666666666666667,2023-09-26,"",Live,58,57,SentToPublish,2024-02-28 02:03:31 AM
do_11388167132209152011,01382283634502041611377,CISCO,Test Demo 1,Course,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_1138885969744199681159,0133809553768366080,CBP Karmayogi,Tester_220923_1,Course,"","","","",00:00:00,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_113899188449886208113,013594775897538560248,Department of Posts,Office Procedure and  Dak Managements,Course,"","","","",00:47:16,4.628272251308901,2023-10-18,"",Live,15,985,SentToPublish,2024-02-28 02:03:31 AM
do_113908307129819136137,0139061008097689606862,Maritime Research Foundation,E-Learning Modules on Basics of the Underwater World (Part-2),Course,"","","","",02:33:25,4.467213114754099,2023-11-10,"",Live,36,1027,SentToPublish,2024-02-28 02:03:31 AM
do_11392673956640358413,0139077787226685440,Dr Marri Chenna Reddy Human Resource Development Institute of Telangana,నాయకత్వం,Course,"","","","",00:56:00,4.2,2023-11-21,"",Live,5,284,SentToPublish,2024-02-28 02:03:31 AM
do_113947387559796736117,01341209715000115258,RAKNPA,डाकघर सावधि जमा खाता,Course,"","","","",00:35:00,4.56687898089172,2024-01-11,"",Live,2,998,SentToPublish,2024-02-28 02:03:31 AM
do_1139664404966522881107,013596952457666560294,Food Corporation of India (FCI),Food Fortification and Fortified Rice,Course,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_1139954349659095041123,0133783095823810560,Karmayogi Bharat,"Introduction to Bharatiya Sakshya Adhiniyam, 2023",Course,"","","","",00:15:38,4.461139896373057,2024-02-21,"",Live,3,3257,Reviewed,2024-02-28 02:03:31 AM
do_1134674919306526721257,013417348380262400189,NACIN National Academy of Customs Indirect Taxes and Narcotics,Marathi,Course,"","","","",12:02:00,"","",2022-02-04,Retired,0,"","",2024-02-28 02:03:31 AM
do_1134943590946488321569,01341136245758361636,Department of Personnel and Training DoPT,Test assessments,Course,"","","","",00:00:00,"","",2022-03-14,Retired,0,"","",2024-02-28 02:03:31 AM
do_1136113142982246401377,0133809553768366080,CBP Karmayogi,Igot26aug22,Course,"","","","",02:25:00,"","",2022-10-18,Retired,0,"",InReview,2024-02-28 02:03:31 AM
do_11363713310963302411102,0136364025461473287707,Microsoft,Microsoft PowerPoint Beginners,Course,"","","","",03:17:16,4.626485568760611,2023-05-22,"",Live,31,5121,SentToPublish,2024-02-28 02:03:31 AM
do_1137327443231703041114,013417187944456192130,NTIPRIT,Basics of Critical Information Infrastructure,Course,"","","","",01:11:41,4.434108527131783,2023-07-19,"",Live,12,1181,Reviewed,2024-02-28 02:03:31 AM
do_113829700631707648153,0133809553768366080,CBP Karmayogi,Supply Chain Management,Course,"","","","",00:58:47,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_113846063640788992123,013662683951005696787,"National Telecommunications Institute for Policy Research, Innovation and Training (NTIPRIT)",Sanchar VHR Portal - Introduction,Course,"","","","",00:15:00,4.422680412371134,2023-07-26,"",Live,2,441,SentToPublish,2024-02-28 02:03:31 AM
do_113852412545654784133,01341081529829785612,Ministry of Rural Development,Construction of Cement Stabilised Bases for Rural Roads,Course,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
do_113887008837443584159,013856570457464832252,"National Academy of Customs, Indirect Taxes and Narcotics (NACIN)",E-way Bill System under GST Law - Part 1,Course,"","","","",00:50:00,4.392523364485982,2024-01-05,"",Live,3,694,InReview,2024-02-28 02:03:31 AM
do_1138941642011770881287,013594775897538560248,Department of Posts,Cash Management in India Post,Course,"","","","",00:59:17,4.498338870431894,2023-10-05,"",Live,26,2104,SentToPublish,2024-02-28 02:03:31 AM
do_11396059945213132816,0133783095823810560,Karmayogi Bharat,AI Basics: The What and The How,Course,"","","","",00:05:31,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_1134122095281766401103,01361377347006464012,POWERGRID CORPORATION OF INDIA LIMITED,Basics of Power System,Course,"","","","",00:55:50,4.488888888888889,2023-09-16,"",Live,13,431,Reviewed,2024-02-28 02:03:31 AM
do_1134596811535482881734,013417348380262400189,NACIN National Academy of Customs Indirect Taxes and Narcotics,Lean Management,Course,"","","","",01:02:41,"","","",Draft,0,"","",2024-02-28 02:03:31 AM
do_113510481076174848116,0134001680852664321,Capacity Building Commission,Introduction to Emerging Technologies (in Hindi),Course,"","","","",02:30:00,"","","",Draft,0,"",InReview,2024-02-28 02:03:31 AM
do_113558582817431552141,0133872821604761600,Institute of Secretariat Training and Management,बजट Budget,Course,"","","","",00:55:00,"","","",Draft,0,"",InReview,2024-02-28 02:03:31 AM
do_1137137381329305601136,013417187944456192130,NTIPRIT,Evolution from 1G to 5G Mobile Communications,Course,"","","","",01:15:08,4.670391061452514,2023-01-27,"",Live,11,1243,SentToPublish,2024-02-28 02:03:31 AM
do_1138070143839846401152,0133809553768366080,CBP Karmayogi,course_May30,Course,"","","","",00:00:00,"","","",Retired,0,"","",2024-02-28 02:03:31 AM
